Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee,B365H,B365D,B365A
2008/09,16/08/08,Arsenal,West Brom,1,0,H,1,0,H,24,5,14,4,11,8,7,5,0,0,0,0,H Webb,1.2,6.5,15.0
2008/09,16/08/08,Bolton,Stoke,3,1,H,3,0,H,14,8,8,2,13,12,4,3,1,2,0,0,C Foy,1.83,3.5,4.5
2008/09,16/08/08,Everton,Blackburn,2,3,A,1,1,D,10,15,5,11,11,9,3,5,2,2,0,0,A Marriner,2.0,3.3,4.0
2008/09,16/08/08,Hull,Fulham,2,1,H,1,1,D,11,12,6,6,10,9,5,6,3,0,0,0,P Walton,2.6,3.2,2.8
2008/09,16/08/08,Middlesbrough,Tottenham,2,1,H,0,0,D,14,8,10,5,11,12,7,9,1,2,0,0,M Atkinson,3.2,3.4,2.25
2008/09,16/08/08,Sunderland,Liverpool,0,1,A,0,0,D,6,14,3,8,13,12,1,8,0,2,0,0,A Wiley,5.5,3.6,1.67
2008/09,16/08/08,West Ham,Wigan,2,1,H,2,0,H,15,22,8,9,14,11,6,10,2,1,0,0,S Bennett,1.91,3.4,4.2
2008/09,17/08/08,Aston Villa,Man City,4,2,H,0,0,D,14,13,10,8,8,11,7,8,0,1,0,0,P Dowd,1.91,3.4,4.33
2008/09,17/08/08,Chelsea,Portsmouth,4,0,H,3,0,H,18,12,11,8,10,6,8,3,0,1,0,0,M Dean,1.33,5.0,10.0
2008/09,17/08/08,Man United,Newcastle,1,1,D,1,1,D,18,11,12,4,15,11,6,6,3,0,0,0,M Riley,1.29,5.5,11.0
2008/09,23/08/08,Blackburn,Hull,1,1,D,1,1,D,12,7,5,4,11,15,6,3,0,1,0,0,S Attwell,1.57,3.75,7.0
2008/09,23/08/08,Fulham,Arsenal,1,0,H,1,0,H,5,15,2,6,14,6,1,5,2,0,0,0,M Atkinson,6.5,3.75,1.57
2008/09,23/08/08,Liverpool,Middlesbrough,2,1,H,0,0,D,16,9,8,4,10,12,14,3,2,1,0,0,M Riley,1.36,4.5,10.0
2008/09,23/08/08,Newcastle,Bolton,1,0,H,0,0,D,10,9,8,4,8,13,4,6,1,2,0,0,S Bennett,1.8,3.5,4.75
2008/09,23/08/08,Stoke,Aston Villa,3,2,H,1,0,H,8,5,2,2,15,5,2,8,1,0,0,0,M Halsey,5.0,3.6,1.73
