Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee,B365H,B365D,B365A
2008/09,23/08/08,Tottenham,Sunderland,1,2,A,0,0,D,18,12,11,7,12,12,12,6,1,2,0,0,M Dean,1.5,4.0,7.0
2008/09,23/08/08,West Brom,Everton,1,2,A,0,0,D,14,9,4,7,11,14,11,5,3,1,0,0,R Styles,2.88,3.25,2.5
2008/09,24/08/08,Man City,West Ham,3,0,H,0,0,D,14,3,9,0,12,16,6,3,0,2,0,1,H Webb,2.3,3.25,3.2
2008/09,24/08/08,Wigan,Chelsea,0,1,A,0,1,A,10,7,6,3,13,17,7,7,1,2,0,0,A Wiley,8.5,4.5,1.4
2008/09,25/08/08,Portsmouth,Man United,0,1,A,0,1,A,13,12,6,7,11,11,4,3,2,2,0,0,C Foy,4.8,3.4,1.8
2008/09,30/08/08,Arsenal,Newcastle,3,0,H,2,0,H,20,4,14,2,12,11,12,1,2,2,0,0,R Styles,1.44,4.0,9.0
2008/09,30/08/08,Bolton,West Brom,0,0,D,0,0,D,18,12,9,7,18,16,7,5,2,2,0,0,K Stroud,1.83,3.5,4.5
2008/09,30/08/08,Everton,Portsmouth,0,3,A,0,2,A,16,6,7,5,5,11,4,3,1,0,0,0,M Halsey,2.1,3.3,3.75
2008/09,30/08/08,Hull,Wigan,0,5,A,0,2,A,10,8,5,5,18,12,7,3,1,0,0,0,M Jones,2.5,3.25,2.88
2008/09,30/08/08,Middlesbrough,Stoke,2,1,H,1,0,H,21,7,12,2,14,18,4,5,2,4,0,1,M Dean,1.57,3.6,7.0
2008/09,30/08/08,West Ham,Blackburn,4,1,H,2,1,H,11,12,6,7,14,21,10,4,1,5,0,0,M Riley,2.5,3.25,2.88
2008/09,31/08/08,Aston Villa,Liverpool,0,0,D,0,0,D,5,8,2,3,9,13,5,8,0,2,0,0,M Atkinson,3.0,3.25,2.4
2008/09,31/08/08,Chelsea,Tottenham,1,1,D,1,1,D,12,6,3,6,10,13,5,8,3,0,0,0,H Webb,1.4,4.33,9.0
2008/09,31/08/08,Sunderland,Man City,0,3,A,0,1,A,10,9,4,8,20,11,3,3,4,2,0,0,C Foy,2.2,3.3,3.4
2008/09,13/09/08,Blackburn,Arsenal,0,4,A,0,2,A,10,17,3,10,8,8,5,5,1,1,0,0,M Dean,4.5,3.5,1.83
2008/09,13/09/08,Fulham,Bolton,2,1,H,2,0,H,20,8,13,7,15,11,12,6,1,1,0,0,S Tanner,2.25,3.3,3.3
2008/09,13/09/08,Liverpool,Man United,2,1,H,1,1,D,16,7,11,3,10,18,5,4,0,3,0,1,H Webb,3.0,3.0,2.6
2008/09,13/09/08,Man City,Chelsea,1,3,A,1,1,D,13,18,7,8,14,10,8,5,0,1,0,1,M Halsey,4.33,3.3,1.91
2008/09,13/09/08,Newcastle,Hull,1,2,A,0,1,A,13,8,4,4,13,17,5,3,0,2,1,0,A Marriner,1.62,3.75,5.75
2008/09,13/09/08,Portsmouth,Middlesbrough,2,1,H,0,1,A,21,7,12,3,8,6,3,2,2,1,0,0,S Attwell,2.0,3.5,3.75
2008/09,13/09/08,West Brom,West Ham,3,2,H,2,2,D,13,21,8,13,9,18,8,8,1,1,0,0,L Probert,2.4,3.25,3.0
2008/09,13/09/08,Wigan,Sunderland,1,1,D,0,1,A,12,6,8,5,10,9,8,6,1,1,1,0,R Styles,2.05,3.3,4.0
2008/09,14/09/08,Stoke,Everton,2,3,A,0,1,A,12,8,7,5,10,19,7,8,2,1,0,0,A Wiley,3.4,3.4,2.2
2008/09,15/09/08,Tottenham,Aston Villa,1,2,A,0,1,A,17,17,10,13,15,12,12,8,1,4,0,0,S Bennett,2.1,3.3,3.6
2008/09,20/09/08,Blackburn,Fulham,1,0,H,0,0,D,11,11,4,5,13,11,4,3,2,0,0,0,L Probert,2.1,3.3,3.6
2008/09,20/09/08,Bolton,Arsenal,1,3,A,1,2,A,12,20,8,9,12,10,7,17,2,2,0,0,S Bennett,6.5,3.75,1.57
2008/09,20/09/08,Liverpool,Stoke,0,0,D,0,0,D,27,3,11,2,8,10,20,3,1,1,0,0,A Marriner,1.2,6.5,15.0
2008/09,20/09/08,Sunderland,Middlesbrough,2,0,H,0,0,D,17,14,11,11,9,16,8,7,2,3,0,0,H Webb,2.38,3.1,3.2
2008/09,20/09/08,West Ham,Newcastle,3,1,H,2,0,H,12,11,6,8,8,21,2,6,1,2,0,0,P Dowd,2.1,3.3,3.6
2008/09,21/09/08,Chelsea,Man United,1,1,D,0,1,A,20,13,13,8,15,18,7,4,1,7,0,0,M Riley,2.2,3.1,3.6
2008/09,21/09/08,Hull,Everton,2,2,D,1,0,H,9,17,5,8,11,12,4,6,0,1,0,0,L Mason,3.1,3.4,2.3
2008/09,21/09/08,Man City,Portsmouth,6,0,H,2,0,H,14,10,10,4,13,14,8,5,0,1,0,0,A Wiley,2.0,3.3,4.0
2008/09,21/09/08,Tottenham,Wigan,0,0,D,0,0,D,11,14,4,6,13,12,3,4,2,2,0,0,S Tanner,1.73,3.6,5.0
2008/09,21/09/08,West Brom,Aston Villa,1,2,A,1,2,A,10,10,6,5,22,16,5,6,3,3,0,0,M Dean,3.25,3.3,2.25
2008/09,27/09/08,Arsenal,Hull,1,2,A,0,0,D,18,7,9,5,8,7,15,4,2,1,0,0,A Wiley,1.2,6.0,17.0
2008/09,27/09/08,Aston Villa,Sunderland,2,1,H,2,1,H,12,9,8,3,8,9,5,5,1,1,0,0,P Walton,1.57,3.75,6.5
2008/09,27/09/08,Everton,Liverpool,0,2,A,0,0,D,4,11,2,6,17,20,7,4,3,3,1,0,M Riley,3.75,3.25,2.1
2008/09,27/09/08,Fulham,West Ham,1,2,A,0,2,A,18,16,6,10,15,13,2,4,4,1,1,0,A Marriner,2.3,3.25,3.2
2008/09,27/09/08,Man United,Bolton,2,0,H,0,0,D,31,10,24,5,8,10,16,4,0,3,0,0,R Styles,1.22,6.0,15.0
2008/09,27/09/08,Middlesbrough,West Brom,0,1,A,0,0,D,22,14,13,9,14,13,11,8,2,4,0,0,C Foy,1.8,3.4,5.0
2008/09,27/09/08,Newcastle,Blackburn,1,2,A,0,2,A,4,9,2,8,6,19,5,5,0,4,0,0,S Tanner,2.6,3.3,2.75
2008/09,27/09/08,Stoke,Chelsea,0,2,A,0,1,A,5,14,2,9,9,6,5,5,2,1,0,0,M Atkinson,9.0,4.75,1.36
2008/09,28/09/08,Portsmouth,Tottenham,2,0,H,1,0,H,8,15,6,8,18,13,3,6,4,3,1,0,M Dean,2.5,3.25,3.0
2008/09,28/09/08,Wigan,Man City,2,1,H,2,1,H,9,11,4,6,12,21,5,3,3,4,0,0,S Bennett,3.0,3.3,2.38
2008/09,04/10/08,Blackburn,Man United,0,2,A,0,1,A,6,18,3,9,11,8,3,4,2,1,0,0,S Bennett,6.0,3.75,1.62
2008/09,04/10/08,Sunderland,Arsenal,1,1,D,0,0,D,8,13,5,7,10,11,1,7,3,5,0,0,L Mason,6.0,3.75,1.62
2008/09,04/10/08,West Brom,Fulham,1,0,H,0,0,D,13,14,8,5,10,13,8,6,2,1,0,0,P Dowd,2.25,3.25,3.25
2008/09,04/10/08,Wigan,Middlesbrough,0,1,A,0,0,D,21,6,9,2,10,13,8,2,3,0,0,0,M Atkinson,2.1,3.3,3.6
2008/09,05/10/08,Chelsea,Aston Villa,2,0,H,2,0,H,27,8,15,3,11,13,7,1,0,3,0,0,C Foy,1.5,4.0,7.0
2008/09,05/10/08,Everton,Newcastle,2,2,D,2,1,H,13,11,5,9,18,15,3,5,1,3,0,0,H Webb,1.73,3.6,5.0
2008/09,05/10/08,Man City,Liverpool,2,3,A,2,0,H,7,14,5,7,11,12,1,7,1,1,1,0,P Walton,3.2,3.3,2.25
2008/09,05/10/08,Portsmouth,Stoke,2,1,H,1,0,H,17,8,11,5,7,15,2,5,0,3,0,0,A Marriner,1.67,3.4,6.0
2008/09,05/10/08,Tottenham,Hull,0,1,A,0,1,A,27,10,16,6,15,15,12,0,4,2,0,0,R Styles,1.73,3.75,4.75
2008/09,05/10/08,West Ham,Bolton,1,3,A,0,2,A,13,12,5,6,15,8,7,7,4,3,0,0,M Dean,1.83,3.4,4.75
2008/09,18/10/08,Arsenal,Everton,3,1,H,0,1,A,22,7,14,3,8,13,7,4,2,4,0,0,P Walton,1.36,4.5,10.0
2008/09,18/10/08,Aston Villa,Portsmouth,0,0,D,0,0,D,10,8,3,3,18,19,11,2,1,3,0,1,M Riley,1.83,3.25,5.0
2008/09,18/10/08,Bolton,Blackburn,0,0,D,0,0,D,10,8,4,1,16,12,11,8,1,3,0,0,H Webb,2.4,3.25,3.0
2008/09,18/10/08,Fulham,Sunderland,0,0,D,0,0,D,13,14,9,7,12,8,8,5,1,1,0,0,K Stroud,2.25,3.25,3.3
2008/09,18/10/08,Liverpool,Wigan,3,2,H,1,2,A,17,7,7,4,10,13,5,2,1,1,0,1,A Wiley,1.4,4.33,9.0
2008/09,18/10/08,Man United,West Brom,4,0,H,0,0,D,18,6,14,2,11,14,15,1,0,1,0,0,M Halsey,1.2,6.5,15.0
2008/09,18/10/08,Middlesbrough,Chelsea,0,5,A,0,1,A,7,21,4,14,13,9,5,7,2,0,0,0,P Dowd,6.0,3.7,1.62
2008/09,19/10/08,Hull,West Ham,1,0,H,0,0,D,12,14,4,5,11,11,3,5,2,1,0,0,C Foy,2.62,3.25,2.75
2008/09,19/10/08,Stoke,Tottenham,2,1,H,1,1,D,7,11,3,6,12,12,6,1,1,2,0,2,L Mason,3.25,3.3,2.25
2008/09,20/10/08,Newcastle,Man City,2,2,D,1,1,D,6,20,2,8,15,15,5,10,0,2,1,0,R Styles,3.0,3.25,2.4
2008/09,25/10/08,Blackburn,Middlesbrough,1,1,D,0,0,D,13,5,5,2,17,11,9,2,3,1,0,0,M Dean,2.1,3.25,3.75
2008/09,25/10/08,Everton,Man United,1,1,D,0,1,A,13,18,9,14,17,11,5,9,3,3,0,0,A Wiley,7.5,4.0,1.5
2008/09,25/10/08,Sunderland,Newcastle,2,1,H,1,1,D,14,10,3,5,11,11,2,4,1,2,0,0,M Riley,2.2,3.3,3.4
2008/09,25/10/08,West Brom,Hull,0,3,A,0,0,D,24,16,16,10,12,13,14,5,1,2,0,0,L Probert,2.2,3.3,3.4
2008/09,26/10/08,Chelsea,Liverpool,0,1,A,0,1,A,14,8,5,3,17,13,4,2,3,3,0,0,H Webb,1.91,3.25,4.5
2008/09,26/10/08,Man City,Stoke,3,0,H,1,0,H,18,9,12,6,12,16,6,8,1,0,0,0,S Tanner,1.44,4.33,7.5
2008/09,26/10/08,Portsmouth,Fulham,1,1,D,0,0,D,21,9,12,5,7,7,8,6,0,0,0,0,M Halsey,1.83,3.5,4.5
2008/09,26/10/08,Tottenham,Bolton,2,0,H,1,0,H,19,10,9,3,9,16,3,4,0,3,0,1,A Marriner,2.05,3.3,4.0
2008/09,26/10/08,West Ham,Arsenal,0,2,A,0,0,D,7,20,3,10,13,9,4,9,2,3,1,0,P Dowd,6.0,3.75,1.62
2008/09,26/10/08,Wigan,Aston Villa,0,4,A,0,1,A,17,9,5,7,14,8,9,4,1,2,0,0,M Jones,2.6,3.3,2.75
2008/09,28/10/08,Newcastle,West Brom,2,1,H,2,0,H,10,14,5,4,13,11,7,8,0,4,0,0,M Dean,1.83,3.5,4.5
2008/09,29/10/08,Arsenal,Tottenham,4,4,D,1,1,D,20,9,12,6,8,17,9,1,1,4,0,0,M Atkinson,1.44,4.5,7.5
2008/09,29/10/08,Aston Villa,Blackburn,3,2,H,1,1,D,8,11,4,5,5,17,4,5,0,1,0,0,K Stroud,1.67,3.75,5.5
2008/09,29/10/08,Bolton,Everton,0,1,A,0,0,D,18,11,12,7,17,12,5,3,1,2,0,0,P Dowd,2.6,3.3,2.75
2008/09,29/10/08,Fulham,Wigan,2,0,H,1,0,H,7,5,2,2,9,14,2,2,0,2,0,0,H Webb,2.38,3.3,3.0
2008/09,29/10/08,Hull,Chelsea,0,3,A,0,1,A,10,27,5,11,11,13,5,5,0,2,0,0,A Marriner,8.0,4.33,1.44
2008/09,29/10/08,Liverpool,Portsmouth,1,0,H,0,0,D,21,4,10,1,13,12,7,1,0,3,0,0,S Tanner,1.33,5.0,10.0
2008/09,29/10/08,Man United,West Ham,2,0,H,2,0,H,21,4,12,1,10,9,3,1,1,2,0,0,P Walton,1.2,6.0,19.0
2008/09,29/10/08,Middlesbrough,Man City,2,0,H,0,0,D,5,13,3,8,10,15,3,3,1,3,0,0,L Mason,2.88,3.3,2.5
2008/09,29/10/08,Stoke,Sunderland,1,0,H,0,0,D,9,9,6,4,10,8,4,4,2,1,0,0,C Foy,2.6,3.3,2.75
2008/09,01/11/08,Chelsea,Sunderland,5,0,H,3,0,H,17,1,11,0,5,11,4,0,0,1,0,0,M Atkinson,1.17,6.5,21.0
2008/09,01/11/08,Everton,Fulham,1,0,H,0,0,D,9,15,4,5,11,15,6,5,0,0,0,0,L Mason,1.67,3.75,5.5
2008/09,01/11/08,Man United,Hull,4,3,H,3,1,H,20,11,11,7,12,13,9,1,2,2,0,0,M Dean,1.17,7.0,17.0
2008/09,01/11/08,Middlesbrough,West Ham,1,1,D,0,1,A,11,13,7,8,10,14,5,4,3,4,0,0,A Marriner,2.0,3.3,4.0
2008/09,01/11/08,Portsmouth,Wigan,1,2,A,0,1,A,16,12,8,8,9,11,9,6,0,3,0,0,P Walton,1.91,3.4,4.2
2008/09,01/11/08,Stoke,Arsenal,2,1,H,1,0,H,7,13,5,6,11,7,3,5,4,2,0,1,R Styles,8.0,4.5,1.4
2008/09,01/11/08,Tottenham,Liverpool,2,1,H,0,1,A,8,14,4,6,18,13,4,4,1,2,0,0,P Dowd,3.5,3.3,2.1
2008/09,01/11/08,West Brom,Blackburn,2,2,D,0,1,A,15,9,8,5,13,18,2,3,3,2,0,1,M Jones,2.5,3.3,2.88
2008/09,02/11/08,Bolton,Man City,2,0,H,0,0,D,20,11,12,6,15,20,6,1,1,1,0,0,M Riley,3.0,3.3,2.38
2008/09,03/11/08,Newcastle,Aston Villa,2,0,H,0,0,D,11,6,7,1,13,21,2,6,4,3,0,0,S Bennett,3.0,3.3,2.38
2008/09,08/11/08,Arsenal,Man United,2,1,H,1,0,H,11,17,7,9,16,7,5,6,3,2,0,0,H Webb,3.25,3.25,2.3
2008/09,08/11/08,Hull,Bolton,0,1,A,0,0,D,16,10,11,6,15,10,6,7,1,2,0,0,A Wiley,2.25,3.25,3.4
2008/09,08/11/08,Liverpool,West Brom,3,0,H,2,0,H,11,4,10,2,10,8,3,7,2,1,0,0,P Walton,1.2,6.0,19.0
2008/09,08/11/08,Sunderland,Portsmouth,1,2,A,1,0,H,9,10,6,5,8,10,8,3,2,1,0,0,S Bennett,2.38,3.3,3.0
2008/09,08/11/08,West Ham,Everton,1,3,A,0,0,D,15,12,13,7,9,10,9,4,1,1,0,0,M Halsey,2.6,3.25,2.8
2008/09,08/11/08,Wigan,Stoke,0,0,D,0,0,D,22,2,14,1,10,12,6,3,1,3,0,0,M Riley,1.8,3.4,5.0
2008/09,09/11/08,Aston Villa,Middlesbrough,1,2,A,1,1,D,14,15,9,8,13,5,7,4,2,2,0,0,R Styles,1.7,3.8,5.0
2008/09,09/11/08,Blackburn,Chelsea,0,2,A,0,1,A,8,18,3,13,14,11,5,9,2,1,0,0,C Foy,8.0,4.33,1.44
2008/09,09/11/08,Fulham,Newcastle,2,1,H,1,0,H,11,13,6,7,13,11,6,1,2,2,0,0,M Atkinson,2.38,3.25,3.1
2008/09,09/11/08,Man City,Tottenham,1,2,A,1,1,D,9,14,7,9,12,13,4,5,1,2,2,1,M Dean,2.25,3.3,3.3
2008/09,15/11/08,Arsenal,Aston Villa,0,2,A,0,0,D,11,9,8,6,9,22,8,5,2,4,0,0,M Riley,1.5,4.0,7.0
2008/09,15/11/08,Blackburn,Sunderland,1,2,A,1,0,H,16,10,8,6,9,9,11,9,3,4,0,0,S Tanner,2.0,3.4,3.8
2008/09,15/11/08,Bolton,Liverpool,0,2,A,0,1,A,15,15,9,6,7,7,7,3,1,1,0,0,R Styles,6.0,3.75,1.62
2008/09,15/11/08,Fulham,Tottenham,2,1,H,1,0,H,16,7,14,3,2,10,10,3,1,0,0,0,A Wiley,3.3,3.3,2.25
2008/09,15/11/08,Man United,Stoke,5,0,H,2,0,H,21,3,15,1,5,15,3,0,1,2,0,0,P Walton,1.14,7.5,23.0
2008/09,15/11/08,Newcastle,Wigan,2,2,D,0,1,A,17,12,9,7,9,12,4,10,1,3,0,1,A Marriner,2.1,3.3,3.6
2008/09,15/11/08,West Brom,Chelsea,0,3,A,0,3,A,13,15,3,9,7,10,3,10,0,3,0,0,S Bennett,12.0,5.0,1.3
2008/09,15/11/08,West Ham,Portsmouth,0,0,D,0,0,D,11,11,5,7,6,11,8,7,0,1,0,0,M Atkinson,2.5,3.25,2.88
2008/09,16/11/08,Everton,Middlesbrough,1,1,D,0,1,A,15,11,7,3,11,13,11,1,0,2,0,0,H Webb,1.83,3.5,4.5
2008/09,16/11/08,Hull,Man City,2,2,D,1,2,A,11,12,6,8,15,16,3,6,2,3,0,0,P Dowd,2.88,3.25,2.5
2008/09,22/11/08,Aston Villa,Man United,0,0,D,0,0,D,10,12,7,7,12,15,3,6,1,0,0,0,C Foy,5.0,3.6,1.73
2008/09,22/11/08,Chelsea,Newcastle,0,0,D,0,0,D,25,2,14,0,12,13,8,1,0,2,0,0,P Dowd,1.2,6.0,19.0
2008/09,22/11/08,Liverpool,Fulham,0,0,D,0,0,D,18,6,7,6,7,6,9,3,0,0,0,0,M Halsey,1.25,5.5,15.0
2008/09,22/11/08,Man City,Arsenal,3,0,H,1,0,H,12,11,8,5,16,9,3,3,0,1,0,0,A Wiley,3.25,3.4,2.2
2008/09,22/11/08,Middlesbrough,Bolton,1,3,A,0,2,A,18,11,5,5,10,15,8,0,2,5,0,0,M Atkinson,1.91,3.4,4.33
2008/09,22/11/08,Portsmouth,Hull,2,2,D,1,0,H,14,13,7,6,13,13,7,7,2,1,0,0,S Attwell,1.8,3.6,4.5
2008/09,22/11/08,Stoke,West Brom,1,0,H,0,0,D,9,8,7,2,9,7,4,1,1,0,0,0,L Mason,2.2,3.3,3.4
2008/09,23/11/08,Sunderland,West Ham,0,1,A,0,1,A,17,10,6,5,13,16,4,2,2,1,0,0,M Dean,2.1,3.4,3.5
2008/09,23/11/08,Tottenham,Blackburn,1,0,H,1,0,H,16,9,7,6,15,15,6,6,2,3,0,1,H Webb,1.73,3.75,4.75
2008/09,24/11/08,Wigan,Everton,1,0,H,0,0,D,12,7,6,2,8,7,3,3,0,0,0,0,R Styles,2.5,3.3,2.88
2008/09,29/11/08,Aston Villa,Fulham,0,0,D,0,0,D,12,5,4,2,9,16,11,4,0,2,0,0,M Jones,1.57,3.8,6.5
2008/09,29/11/08,Middlesbrough,Newcastle,0,0,D,0,0,D,14,10,7,5,9,7,7,2,1,1,0,0,A Wiley,2.2,3.3,3.4
2008/09,29/11/08,Stoke,Hull,1,1,D,0,1,A,10,6,5,5,17,20,5,3,2,3,0,0,K Stroud,2.4,3.4,2.88
2008/09,29/11/08,Sunderland,Bolton,1,4,A,1,3,A,14,11,9,6,9,6,5,6,4,0,0,0,C Foy,2.25,3.3,3.3
2008/09,29/11/08,Wigan,West Brom,2,1,H,0,0,D,17,17,9,9,10,7,6,8,0,2,0,0,P Dowd,1.73,3.6,5.0
2008/09,30/11/08,Chelsea,Arsenal,1,2,A,1,0,H,12,9,5,6,18,16,3,2,2,0,0,0,M Dean,1.8,3.4,5.0
2008/09,30/11/08,Man City,Man United,0,1,A,0,1,A,10,12,1,8,17,15,3,8,2,5,0,1,H Webb,4.33,3.6,1.83
2008/09,30/11/08,Portsmouth,Blackburn,3,2,H,0,0,D,9,10,6,2,5,12,8,10,0,1,0,0,M Halsey,2.1,3.3,3.6
2008/09,30/11/08,Tottenham,Everton,0,1,A,0,0,D,14,8,6,6,9,16,5,1,1,3,0,0,S Bennett,1.91,3.5,4.0
2008/09,01/12/08,Liverpool,West Ham,0,0,D,0,0,D,21,7,8,3,5,7,17,5,1,1,0,0,P Walton,1.3,5.0,12.0
2008/09,06/12/08,Arsenal,Wigan,1,0,H,1,0,H,11,10,4,4,13,13,8,3,1,2,0,0,S Bennett,1.33,4.75,11.0
2008/09,06/12/08,Blackburn,Liverpool,1,3,A,0,0,D,7,10,3,6,11,9,5,6,2,2,0,0,A Marriner,5.5,3.5,1.73
2008/09,06/12/08,Bolton,Chelsea,0,2,A,0,2,A,21,11,11,7,14,16,10,2,2,1,0,0,H Webb,7.0,3.8,1.53
2008/09,06/12/08,Fulham,Man City,1,1,D,1,1,D,12,15,8,7,6,5,9,7,2,1,0,0,R Styles,2.6,3.2,2.8
2008/09,06/12/08,Hull,Middlesbrough,2,1,H,0,0,D,17,9,7,7,10,8,8,6,1,1,0,1,S Tanner,2.38,3.25,3.1
2008/09,06/12/08,Man United,Sunderland,1,0,H,0,0,D,27,2,15,2,8,8,10,1,1,0,0,0,M Halsey,1.14,7.5,23.0
2008/09,06/12/08,Newcastle,Stoke,2,2,D,2,0,H,9,12,6,4,10,17,6,3,0,1,0,0,M Riley,1.8,3.5,4.75
2008/09,07/12/08,Everton,Aston Villa,2,3,A,1,1,D,12,5,7,5,18,16,10,6,2,1,0,0,M Atkinson,2.62,3.25,2.75
2008/09,07/12/08,West Brom,Portsmouth,1,1,D,1,0,H,14,6,8,3,11,12,3,5,1,2,0,0,M Dean,2.62,3.25,2.75
2008/09,08/12/08,West Ham,Tottenham,0,2,A,0,0,D,11,17,4,12,13,16,7,5,2,0,0,0,C Foy,2.75,3.25,2.62
2008/09,13/12/08,Aston Villa,Bolton,4,2,H,2,1,H,16,9,7,5,7,16,10,3,0,1,0,0,L Probert,1.67,3.6,5.5
2008/09,13/12/08,Liverpool,Hull,2,2,D,2,2,D,22,9,10,3,12,8,8,4,3,3,0,0,A Wiley,1.33,5.0,10.0
2008/09,13/12/08,Man City,Everton,0,1,A,0,0,D,7,11,4,4,10,7,5,7,0,1,0,0,M Halsey,2.0,3.4,3.8
2008/09,13/12/08,Middlesbrough,Arsenal,1,1,D,1,1,D,8,17,3,11,8,11,5,10,0,1,0,0,P Walton,4.5,3.6,1.8
2008/09,13/12/08,Stoke,Fulham,0,0,D,0,0,D,6,9,2,6,16,2,5,6,1,1,0,0,S Attwell,2.5,3.25,2.88
2008/09,13/12/08,Sunderland,West Brom,4,0,H,3,0,H,16,14,10,6,8,14,1,11,1,2,0,0,L Mason,2.0,3.4,3.8
2008/09,13/12/08,Tottenham,Man United,0,0,D,0,0,D,11,15,6,12,10,9,4,14,1,1,0,0,M Dean,4.5,3.5,1.83
2008/09,13/12/08,Wigan,Blackburn,3,0,H,2,0,H,10,11,5,4,9,14,6,9,1,1,0,0,H Webb,2.1,3.3,3.6
2008/09,14/12/08,Chelsea,West Ham,1,1,D,0,1,A,19,4,12,2,13,20,9,4,3,2,0,0,M Riley,1.25,5.5,15.0
2008/09,14/12/08,Portsmouth,Newcastle,0,3,A,0,0,D,18,10,6,5,15,5,8,5,4,1,0,0,C Foy,2.05,3.2,3.4
2008/09,20/12/08,Blackburn,Stoke,3,0,H,3,0,H,10,14,9,4,13,11,3,7,0,2,0,0,P Walton,1.83,3.5,4.5
2008/09,20/12/08,Bolton,Portsmouth,2,1,H,2,1,H,19,8,10,5,14,16,6,3,1,1,0,0,M Atkinson,2.2,3.25,3.4
2008/09,20/12/08,Fulham,Middlesbrough,3,0,H,1,0,H,19,12,13,5,12,7,6,4,0,2,0,0,K Stroud,2.2,3.25,3.5
2008/09,20/12/08,Hull,Sunderland,1,4,A,1,1,D,14,15,8,6,20,10,6,6,3,1,1,0,M Riley,2.1,3.25,3.75
2008/09,20/12/08,West Ham,Aston Villa,0,1,A,0,0,D,17,10,13,4,7,10,7,6,2,1,0,0,M Halsey,3.0,3.4,2.37
2008/09,21/12/08,Arsenal,Liverpool,1,1,D,1,1,D,6,10,3,6,14,17,2,1,3,3,1,0,H Webb,2.4,3.25,3.0
2008/09,21/12/08,Newcastle,Tottenham,2,1,H,1,1,D,7,11,4,6,9,7,4,7,3,2,0,0,A Marriner,2.37,3.4,3.0
2008/09,21/12/08,West Brom,Man City,2,1,H,0,0,D,12,11,7,7,10,9,5,7,2,1,0,0,C Foy,3.25,3.3,2.25
2008/09,22/12/08,Everton,Chelsea,0,0,D,0,0,D,10,6,8,2,16,12,6,5,0,3,0,1,P Dowd,5.0,3.6,1.73
2008/09,26/12/08,Aston Villa,Arsenal,2,2,D,0,1,A,13,8,9,6,10,10,7,6,4,4,0,0,L Mason,2.5,3.3,2.87
2008/09,26/12/08,Chelsea,West Brom,2,0,H,2,0,H,23,6,15,2,7,7,7,5,1,0,0,0,R Styles,1.14,7.5,21.0
2008/09,26/12/08,Liverpool,Bolton,3,0,H,1,0,H,18,4,8,2,7,12,16,3,1,3,0,0,A Wiley,1.33,4.5,12.0
2008/09,26/12/08,Man City,Hull,5,1,H,4,0,H,23,15,16,11,15,14,8,10,0,4,0,0,A Marriner,1.8,3.6,4.5
