Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee,B365H,B365D,B365A
2002/03,17/08/2002,Blackburn,Sunderland,0,0,D,0,0,D,15,7,5,3,14,11,9,1,1,2,0,0,D Elleray,1.727,3.25,4.333
2002/03,17/08/2002,Charlton,Chelsea,2,3,A,2,1,H,5,21,5,12,10,12,3,6,0,3,1,0,G Barber,2.8,3.25,2.2
2002/03,17/08/2002,Everton,Tottenham,2,2,D,1,0,H,13,10,9,5,18,4,10,5,1,1,0,0,N Barry,2.25,3.25,2.75
2002/03,17/08/2002,Fulham,Bolton,4,1,H,3,1,H,13,3,6,1,16,12,7,4,1,2,0,0,A Wiley,1.727,3.25,4.333
2002/03,17/08/2002,Leeds,Man City,3,0,H,2,0,H,13,18,8,10,13,13,2,7,1,1,0,0,G Poll,1.667,3.4,4.5
2002/03,17/08/2002,Man United,West Brom,1,0,H,0,0,D,20,6,13,5,9,12,9,1,1,1,0,1,S Bennett,1.2,5.0,12.0
2002/03,17/08/2002,Southampton,Middlesbrough,0,0,D,0,0,D,12,11,5,5,11,14,3,4,0,0,0,0,B Knight,2.25,3.25,2.75
2002/03,18/08/2002,Arsenal,Birmingham,2,0,H,2,0,H,15,7,7,1,6,11,9,2,0,1,0,1,M Riley,1.222,5.0,10.0
2002/03,18/08/2002,Aston Villa,Liverpool,0,1,A,0,0,D,11,12,5,6,9,5,6,8,2,2,0,0,A D'Urso,3.0,3.25,2.1
2002/03,19/08/2002,Newcastle,West Ham,4,0,H,0,0,D,13,7,10,4,7,9,7,1,1,2,0,0,P Durkin,1.571,3.4,5.5
2002/03,23/08/2002,Chelsea,Man United,2,2,D,2,1,H,11,9,5,7,13,9,3,3,3,2,0,0,G Poll,2.75,3.25,2.25
2002/03,24/08/2002,Birmingham,Blackburn,0,1,A,0,1,A,15,13,10,9,10,17,6,4,1,2,0,0,D Gallagher,2.625,3.2,2.375
2002/03,24/08/2002,Bolton,Charlton,1,2,A,1,1,D,15,8,9,4,9,11,4,6,1,1,0,0,M Messias,2.1,3.25,3.0
2002/03,24/08/2002,Liverpool,Southampton,3,0,H,1,0,H,16,7,9,1,11,8,5,8,0,1,0,0,J Winter,1.333,4.333,7.5
2002/03,24/08/2002,Man City,Newcastle,1,0,H,1,0,H,20,9,12,6,12,14,6,8,1,1,0,0,U Rennie,2.5,3.2,2.5
2002/03,24/08/2002,Middlesbrough,Fulham,2,2,D,1,0,H,6,10,3,4,18,7,8,11,4,2,0,0,M Dean,2.0,3.25,3.25
2002/03,24/08/2002,Sunderland,Everton,0,1,A,0,1,A,13,11,3,5,10,15,10,4,1,0,0,0,R Styles,2.1,3.0,3.25
2002/03,24/08/2002,Tottenham,Aston Villa,1,0,H,1,0,H,8,18,3,8,20,15,2,5,2,0,0,0,C Wilkes,1.833,3.25,3.75
2002/03,24/08/2002,West Brom,Leeds,1,3,A,0,1,A,12,11,2,4,9,11,7,3,1,1,0,0,S Dunn,3.75,3.25,1.833
2002/03,24/08/2002,West Ham,Arsenal,2,2,D,1,0,H,8,9,4,5,18,14,4,4,2,5,0,0,N Barry,4.0,3.5,1.727
2002/03,27/08/2002,Arsenal,West Brom,5,2,H,3,0,H,10,8,8,6,9,9,1,1,3,2,0,0,P Durkin,1.17,5.5,13.0
2002/03,27/08/2002,Charlton,Tottenham,0,1,A,0,1,A,10,7,5,1,9,23,6,9,1,2,0,0,A Wiley,2.4,3.2,2.6
2002/03,28/08/2002,Aston Villa,Man City,1,0,H,0,0,D,11,7,6,1,13,11,5,4,1,3,0,0,D Pugh,2.2,3.25,2.8
2002/03,28/08/2002,Blackburn,Liverpool,2,2,D,1,1,D,7,5,4,3,17,10,5,2,3,1,0,0,S Bennett,3.0,3.25,2.1
2002/03,28/08/2002,Everton,Birmingham,1,1,D,0,0,D,11,5,4,2,18,12,7,4,0,3,1,0,E Wolstenholme,1.67,3.4,4.5
2002/03,28/08/2002,Leeds,Sunderland,0,1,A,0,0,D,20,9,9,4,13,11,8,1,2,0,0,0,M Halsey,1.5,3.4,6.5
2002/03,28/08/2002,Southampton,Chelsea,1,1,D,0,0,D,12,10,4,3,16,11,5,6,2,1,0,0,C Foy,3.0,3.25,2.1
2002/03,31/08/2002,Birmingham,Leeds,2,1,H,1,0,H,9,8,5,6,14,16,2,5,3,3,0,0,P Durkin,4.0,3.25,1.8
2002/03,31/08/2002,Man City,Everton,3,1,H,2,1,H,7,14,6,8,12,11,7,6,1,0,1,0,B Knight,1.727,3.25,4.333
2002/03,31/08/2002,Middlesbrough,Blackburn,1,0,H,0,0,D,7,10,3,7,19,16,8,6,3,3,0,0,M Halsey,2.2,3.25,2.8
2002/03,31/08/2002,Sunderland,Man United,1,1,D,0,1,A,12,20,5,10,13,16,6,8,1,2,0,1,U Rennie,5.0,3.4,1.615
2002/03,31/08/2002,Tottenham,Southampton,2,1,H,1,1,D,18,15,8,8,16,13,12,6,3,1,0,1,M Dean,1.667,3.4,4.5
2002/03,31/08/2002,West Brom,Fulham,1,0,H,0,0,D,8,6,5,1,17,16,5,7,4,3,0,0,R Styles,2.625,3.2,2.375
2002/03,31/08/2002,West Ham,Charlton,0,2,A,0,2,A,9,5,4,3,11,15,8,6,3,1,0,0,J Winter,1.727,3.5,4.0
2002/03,01/09/2002,Bolton,Aston Villa,1,0,H,0,0,D,13,12,6,5,9,11,4,5,2,3,0,0,S Dunn,2.5,3.0,2.625
2002/03,01/09/2002,Chelsea,Arsenal,1,1,D,1,0,H,8,8,2,5,20,16,6,2,5,2,0,1,A D'Urso,3.0,3.0,2.25
2002/03,02/09/2002,Liverpool,Newcastle,2,2,D,0,0,D,22,11,11,6,7,25,12,3,1,2,0,0,G Poll,1.615,3.4,5.0
2002/03,03/09/2002,Man United,Middlesbrough,1,0,H,1,0,H,7,5,1,3,13,12,4,6,1,2,0,0,M Riley,1.333,4.0,9.0
2002/03,10/09/2002,Arsenal,Man City,2,1,H,2,1,H,13,5,5,4,16,14,7,6,1,2,0,1,C Wilkes,1.333,4.333,7.5
2002/03,10/09/2002,Middlesbrough,Sunderland,3,0,H,2,0,H,9,8,7,6,16,12,6,8,3,3,0,0,A Wiley,2.1,3.0,3.25
2002/03,11/09/2002,Aston Villa,Charlton,2,0,H,0,0,D,12,8,5,2,16,16,6,2,0,1,0,0,G Poll,1.8,3.25,4.0
2002/03,11/09/2002,Blackburn,Chelsea,2,3,A,2,1,H,11,14,6,9,15,16,9,4,2,3,0,0,M Riley,2.5,3.2,2.5
2002/03,11/09/2002,Fulham,Tottenham,3,2,H,0,2,A,13,7,8,4,8,11,9,6,0,1,0,0,M Halsey,2.375,3.2,2.625
2002/03,11/09/2002,Liverpool,Birmingham,2,2,D,1,0,H,12,6,10,3,6,10,1,2,0,1,0,0,N Barry,1.25,4.5,11.0
2002/03,11/09/2002,Man United,Bolton,0,1,A,0,0,D,23,10,14,8,10,11,9,6,1,2,0,0,G Barber,1.2,5.5,10.0
