Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee,B365H,B365D,B365A
2006/07,19/08/06,Arsenal,Aston Villa,1,1,D,0,0,D,19,5,11,3,10,19,18,1,1,2,0,0,G Poll,1.28,4.5,13.0
2006/07,19/08/06,Bolton,Tottenham,2,0,H,2,0,H,8,9,6,6,19,22,6,3,0,1,0,0,P Dowd,2.62,3.2,2.6
2006/07,19/08/06,Everton,Watford,2,1,H,1,0,H,6,12,2,8,12,13,0,6,2,2,0,0,P Walton,1.66,3.4,5.5
2006/07,19/08/06,Newcastle,Wigan,2,1,H,1,0,H,9,14,8,9,17,20,4,11,1,2,0,0,M Atkinson,1.72,3.5,4.75
2006/07,19/08/06,Portsmouth,Blackburn,3,0,H,1,0,H,21,9,16,7,20,17,6,2,2,1,0,2,A Wiley,2.3,3.1,3.1
2006/07,19/08/06,Reading,Middlesbrough,3,2,H,2,2,D,14,7,9,5,8,15,8,2,1,3,0,0,M Halsey,2.5,3.1,2.8
2006/07,19/08/06,Sheffield United,Liverpool,1,1,D,0,0,D,5,12,3,7,10,16,0,12,1,2,0,0,R Styles,6.0,3.8,1.53
2006/07,19/08/06,West Ham,Charlton,3,1,H,0,1,A,16,4,5,2,14,14,6,0,2,2,0,1,H Webb,2.0,3.2,3.75
2006/07,20/08/06,Chelsea,Man City,3,0,H,2,0,H,10,5,4,2,7,15,5,2,1,3,0,1,S Bennett,1.22,5.5,13.0
2006/07,20/08/06,Man United,Fulham,5,1,H,4,1,H,15,12,7,8,14,20,5,2,1,1,0,0,A Marriner,1.22,5.5,13.0
2006/07,22/08/06,Tottenham,Sheffield United,2,0,H,2,0,H,18,6,13,3,5,9,6,4,0,1,0,0,P Walton,1.5,3.75,7.0
2006/07,22/08/06,Watford,West Ham,1,1,D,0,0,D,11,8,4,4,12,12,5,1,0,0,0,0,M Atkinson,2.87,3.2,2.4
2006/07,23/08/06,Aston Villa,Reading,2,1,H,1,1,D,11,5,6,3,9,6,2,7,2,1,0,1,L Mason,1.9,3.25,4.0
2006/07,23/08/06,Blackburn,Everton,1,1,D,0,0,D,10,10,5,4,22,20,5,3,4,3,0,0,U Rennie,2.3,3.1,3.1
2006/07,23/08/06,Charlton,Man United,0,3,A,0,0,D,8,21,2,11,14,11,4,11,1,1,0,0,C Foy,7.5,3.6,1.5
2006/07,23/08/06,Fulham,Bolton,1,1,D,0,0,D,11,4,4,1,9,16,1,6,0,2,0,0,A Wiley,2.4,3.2,2.87
2006/07,23/08/06,Man City,Portsmouth,0,0,D,0,0,D,6,3,3,1,15,13,8,0,2,1,0,0,D Gallagher,2.2,3.1,3.1
2006/07,23/08/06,Middlesbrough,Chelsea,2,1,H,0,1,A,9,8,2,5,15,7,3,3,2,2,0,0,H Webb,8.5,3.75,1.44
2006/07,26/08/06,Charlton,Bolton,2,0,H,0,0,D,9,7,5,2,11,17,6,5,1,4,1,1,M Dean,2.5,3.1,2.8
2006/07,26/08/06,Fulham,Sheffield United,1,0,H,1,0,H,10,9,5,1,17,17,9,5,3,3,0,0,G Poll,1.9,3.25,4.0
2006/07,26/08/06,Liverpool,West Ham,2,1,H,2,1,H,19,8,8,3,15,6,6,1,1,0,0,0,A Wiley,1.44,4.0,7.5
2006/07,26/08/06,Man City,Arsenal,1,0,H,1,0,H,10,17,3,6,16,8,2,8,1,1,0,0,U Rennie,5.5,3.6,1.61
2006/07,26/08/06,Tottenham,Everton,0,2,A,0,0,D,15,6,6,2,9,12,7,2,1,1,0,1,M Halsey,1.72,3.4,5.0
2006/07,26/08/06,Watford,Man United,1,2,A,1,1,D,8,19,7,10,20,14,4,7,1,1,0,0,P Dowd,7.5,4.33,1.4
2006/07,26/08/06,Wigan,Reading,1,0,H,1,0,H,15,5,5,3,12,14,4,10,2,2,0,0,M Riley,1.9,3.25,4.0
2006/07,27/08/06,Aston Villa,Newcastle,2,0,H,2,0,H,9,8,7,5,14,12,2,3,2,2,0,0,H Webb,2.37,3.1,3.0
2006/07,27/08/06,Blackburn,Chelsea,0,2,A,0,0,D,12,14,3,8,10,15,7,3,3,1,0,0,M Clattenburg,6.5,3.6,1.53
2006/07,28/08/06,Middlesbrough,Portsmouth,0,4,A,0,1,A,19,10,8,7,15,9,8,6,2,1,0,0,C Foy,2.0,3.2,3.75
2006/07,09/09/06,Arsenal,Middlesbrough,1,1,D,0,1,A,20,1,12,1,5,17,15,0,1,6,0,1,R Styles,1.33,4.33,10.0
2006/07,09/09/06,Bolton,Watford,1,0,H,0,0,D,7,15,2,6,13,15,6,6,3,1,0,0,M Clattenburg,1.66,3.4,5.5
2006/07,09/09/06,Chelsea,Charlton,2,1,H,1,0,H,19,3,6,2,12,7,6,3,2,1,0,0,A Wiley,1.2,5.5,17.0
2006/07,09/09/06,Everton,Liverpool,3,0,H,2,0,H,8,21,6,5,22,13,2,11,1,3,0,0,G Poll,3.75,3.2,2.0
2006/07,09/09/06,Man United,Tottenham,1,0,H,1,0,H,10,9,5,4,12,17,5,4,2,2,0,0,M Riley,1.5,3.75,7.0
2006/07,09/09/06,Newcastle,Fulham,1,2,A,0,0,D,15,8,7,5,16,12,4,7,1,1,0,0,C Foy,1.72,3.4,5.0
2006/07,09/09/06,Portsmouth,Wigan,1,0,H,0,0,D,9,11,7,5,14,5,6,9,0,1,0,0,P Walton,1.83,3.25,4.5
2006/07,09/09/06,Sheffield United,Blackburn,0,0,D,0,0,D,14,12,9,1,12,11,7,6,2,2,0,0,M Dean,2.62,3.2,2.62
2006/07,10/09/06,West Ham,Aston Villa,1,1,D,0,1,A,7,10,1,6,15,9,3,5,2,2,0,0,S Bennett,2.1,3.2,3.5
2006/07,11/09/06,Reading,Man City,1,0,H,1,0,H,12,15,7,8,6,16,6,4,0,4,0,1,H Webb,2.3,3.1,3.1
2006/07,16/09/06,Bolton,Middlesbrough,0,0,D,0,0,D,13,14,3,7,7,19,9,4,0,1,0,0,S Bennett,2.0,3.2,3.75
2006/07,16/09/06,Charlton,Portsmouth,0,1,A,0,0,D,18,12,5,5,6,10,9,4,0,2,0,0,P Dowd,2.3,3.25,3.0
2006/07,16/09/06,Everton,Wigan,2,2,D,0,0,D,14,10,9,7,14,23,4,2,1,5,0,0,A Wiley,1.72,3.4,5.0
2006/07,16/09/06,Sheffield United,Reading,1,2,A,0,2,A,14,8,7,2,12,6,8,7,2,1,0,0,A Marriner,2.5,3.1,2.8
2006/07,16/09/06,Watford,Aston Villa,0,0,D,0,0,D,12,9,5,4,12,10,7,1,1,0,0,0,M Dean,2.75,3.2,2.5
2006/07,17/09/06,Blackburn,Man City,4,2,H,2,2,D,11,15,5,8,11,11,4,3,2,3,0,0,M Atkinson,2.0,3.2,3.75
2006/07,17/09/06,Chelsea,Liverpool,1,0,H,1,0,H,4,9,3,6,13,17,1,3,3,2,1,0,M Riley,1.83,3.25,4.5
2006/07,17/09/06,Man United,Arsenal,0,1,A,0,0,D,17,14,9,7,11,11,10,5,2,2,0,0,G Poll,1.9,3.25,4.0
2006/07,17/09/06,Tottenham,Fulham,0,0,D,0,0,D,18,8,8,3,11,20,12,2,2,2,0,0,M Clattenburg,1.61,3.4,6.0
2006/07,17/09/06,West Ham,Newcastle,0,2,A,0,0,D,10,16,7,9,11,11,5,6,3,3,0,0,R Styles,2.1,3.2,3.5
2006/07,20/09/06,Liverpool,Newcastle,2,0,H,1,0,H,22,11,11,6,12,13,8,6,1,1,0,0,M Halsey,1.53,3.6,6.5
2006/07,23/09/06,Arsenal,Sheffield United,3,0,H,0,0,D,14,5,11,4,11,8,7,2,2,1,0,0,A Wiley,1.2,5.5,17.0
2006/07,23/09/06,Aston Villa,Charlton,2,0,H,1,0,H,12,8,5,3,10,14,4,4,0,1,0,0,M Riley,1.8,3.4,4.33
2006/07,23/09/06,Fulham,Chelsea,0,2,A,0,0,D,7,13,4,5,19,9,5,7,2,1,0,0,M Halsey,7.5,4.33,1.4
2006/07,23/09/06,Liverpool,Tottenham,3,0,H,0,0,D,14,5,6,1,12,9,6,0,1,0,0,0,H Webb,1.61,3.75,5.25
2006/07,23/09/06,Man City,West Ham,2,0,H,0,0,D,17,4,8,0,12,15,4,6,0,0,0,0,C Foy,2.25,3.2,3.1
2006/07,23/09/06,Middlesbrough,Blackburn,0,1,A,0,1,A,13,13,7,7,14,17,6,7,1,3,0,0,G Poll,2.1,3.1,3.5
2006/07,23/09/06,Reading,Man United,1,1,D,0,0,D,3,18,1,8,6,10,2,6,0,0,0,0,P Walton,7.0,3.75,1.5
2006/07,23/09/06,Wigan,Watford,1,1,D,1,0,H,8,10,4,4,15,15,4,3,2,2,0,0,R Styles,1.83,3.3,4.33
2006/07,24/09/06,Newcastle,Everton,1,1,D,1,1,D,21,12,13,5,12,18,9,6,2,4,1,1,S Bennett,2.2,3.2,3.25
2006/07,25/09/06,Portsmouth,Bolton,0,1,A,0,1,A,13,4,5,3,8,13,11,2,2,2,0,0,U Rennie,1.9,3.25,4.0
2006/07,30/09/06,Bolton,Liverpool,2,0,H,1,0,H,4,13,3,6,15,12,1,10,2,1,0,0,P Dowd,3.75,3.2,2.0
2006/07,30/09/06,Charlton,Arsenal,1,2,A,1,1,D,10,21,6,12,19,8,4,7,4,4,0,0,M Clattenburg,6.5,3.6,1.53
2006/07,30/09/06,Chelsea,Aston Villa,1,1,D,1,1,D,18,9,10,5,13,14,7,5,0,2,0,0,G Poll,1.3,5.0,8.5
2006/07,30/09/06,Everton,Man City,1,1,D,1,0,H,14,11,10,5,14,17,8,4,2,2,0,0,A Marriner,1.83,3.3,4.33
2006/07,30/09/06,Sheffield United,Middlesbrough,2,1,H,1,0,H,13,7,7,2,8,12,10,4,1,3,0,0,P Walton,2.6,3.25,2.6
2006/07,01/10/06,Blackburn,Wigan,2,1,H,1,1,D,12,11,8,6,16,17,5,4,3,4,0,0,H Webb,1.9,3.25,4.0
2006/07,01/10/06,Man United,Newcastle,2,0,H,1,0,H,24,3,11,3,5,13,8,3,1,3,0,0,M Dean,1.3,4.33,13.0
2006/07,01/10/06,Tottenham,Portsmouth,2,1,H,2,1,H,8,9,6,6,8,10,6,10,0,0,0,0,C Foy,1.8,3.25,4.5
2006/07,01/10/06,West Ham,Reading,0,1,A,0,1,A,13,2,8,1,8,7,10,5,4,2,0,0,U Rennie,1.9,3.25,4.0
2006/07,02/10/06,Watford,Fulham,3,3,D,1,0,H,9,9,4,3,24,12,3,2,1,3,0,0,M Riley,2.4,3.2,2.87
2006/07,14/10/06,Arsenal,Watford,3,0,H,2,0,H,15,9,7,3,6,14,8,4,0,1,0,0,H Webb,1.16,6.5,15.0
2006/07,14/10/06,Aston Villa,Tottenham,1,1,D,0,0,D,12,10,6,5,13,11,2,2,0,1,0,1,M Atkinson,2.25,3.1,3.2
