Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee,B365H,B365D,B365A
2004/05,14/08/04,Aston Villa,Southampton,2,0,H,2,0,H,14,6,5,2,14,9,12,6,0,0,0,0,U Rennie,1.9,3.1,4.33
2004/05,14/08/04,Blackburn,West Brom,1,1,D,0,1,A,12,4,4,2,15,17,4,5,1,0,0,0,C Foy,1.8,3.1,5.0
2004/05,14/08/04,Bolton,Charlton,4,1,H,2,0,H,21,9,11,5,10,12,9,5,1,1,0,0,P Dowd,2.25,3.2,3.1
2004/05,14/08/04,Man City,Fulham,1,1,D,1,0,H,12,4,5,2,14,12,9,4,0,2,0,0,M Messias,2.1,3.25,3.4
2004/05,14/08/04,Middlesbrough,Newcastle,2,2,D,0,1,A,15,11,8,4,16,13,6,7,3,1,0,0,S Bennett,2.3,3.25,3.0
2004/05,14/08/04,Norwich,Crystal Palace,1,1,D,1,0,H,14,14,10,8,14,16,6,11,0,1,0,0,P Walton,2.1,3.25,3.4
2004/05,14/08/04,Portsmouth,Birmingham,1,1,D,1,1,D,14,16,8,11,13,16,8,4,2,4,0,0,H Webb,2.4,3.2,2.87
2004/05,14/08/04,Tottenham,Liverpool,1,1,D,0,1,A,14,16,7,8,17,11,3,8,3,1,0,0,D Gallagher,3.1,3.2,2.25
2004/05,15/08/04,Chelsea,Man United,1,0,H,1,0,H,8,11,5,3,17,8,2,3,0,0,0,0,G Poll,2.1,3.25,3.4
2004/05,15/08/04,Everton,Arsenal,1,4,A,0,2,A,9,18,5,14,14,19,0,7,2,1,0,0,M Riley,6.0,3.4,1.61
2004/05,21/08/04,Birmingham,Chelsea,0,1,A,0,0,D,9,7,3,3,10,16,8,2,0,0,0,0,B Knight,4.5,3.2,1.83
2004/05,21/08/04,Charlton,Portsmouth,2,1,H,1,0,H,18,10,14,6,9,11,5,6,0,1,0,0,A Wiley,2.0,3.2,3.75
2004/05,21/08/04,Crystal Palace,Everton,1,3,A,1,1,D,15,14,9,7,6,18,6,6,1,1,0,1,M Clattenburg,2.3,3.25,3.0
2004/05,21/08/04,Fulham,Bolton,2,0,H,1,0,H,23,10,12,4,11,13,8,4,0,0,0,0,R Styles,2.25,3.2,3.1
2004/05,21/08/04,Liverpool,Man City,2,1,H,0,1,A,15,7,10,4,9,17,8,3,1,3,0,1,G Poll,1.57,3.5,6.5
2004/05,21/08/04,Man United,Norwich,2,1,H,1,0,H,17,7,7,2,8,23,11,5,0,1,0,0,N Barry,1.25,5.0,13.0
2004/05,21/08/04,Newcastle,Tottenham,0,1,A,0,0,D,13,15,6,8,10,12,13,3,1,2,0,0,M Dean,1.66,3.4,5.5
2004/05,21/08/04,Southampton,Blackburn,3,2,H,1,0,H,13,10,7,6,12,18,3,6,0,3,0,0,A D'Urso,2.3,3.25,3.0
2004/05,22/08/04,Arsenal,Middlesbrough,5,3,H,1,1,D,16,9,11,5,8,14,7,5,1,1,0,0,S Dunn,1.36,4.33,9.0
2004/05,22/08/04,West Brom,Aston Villa,1,1,D,1,1,D,14,9,5,4,12,20,12,4,2,2,0,0,M Halsey,2.87,3.2,2.4
2004/05,24/08/04,Birmingham,Man City,1,0,H,1,0,H,6,4,2,1,20,13,2,5,1,1,0,0,P Dowd,1.9,3.1,4.33
2004/05,24/08/04,Crystal Palace,Chelsea,0,2,A,0,1,A,7,16,4,10,9,12,1,6,1,1,0,0,C Foy,8.5,3.75,1.44
