Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee,B365H,B365D,B365A
2009/10,15/08/09,Aston Villa,Wigan,0,2,A,0,1,A,11,14,5,7,15,14,4,6,2,2,0,0,M Clattenburg,1.67,3.6,5.5
2009/10,15/08/09,Blackburn,Man City,0,2,A,0,1,A,17,8,9,5,12,9,5,4,2,1,0,0,M Dean,3.6,3.25,2.1
2009/10,15/08/09,Bolton,Sunderland,0,1,A,0,1,A,11,20,3,13,16,10,4,7,2,1,0,0,A Marriner,2.25,3.25,3.25
2009/10,15/08/09,Chelsea,Hull,2,1,H,1,1,D,26,7,12,3,13,15,12,4,1,2,0,0,A Wiley,1.17,6.5,21.0
2009/10,15/08/09,Everton,Arsenal,1,6,A,0,3,A,8,15,5,9,11,13,4,9,0,0,0,0,M Halsey,3.2,3.25,2.3
2009/10,15/08/09,Portsmouth,Fulham,0,1,A,0,1,A,16,9,4,3,11,18,6,4,3,2,0,0,M Atkinson,2.63,3.2,2.75
2009/10,15/08/09,Stoke,Burnley,2,0,H,2,0,H,12,9,5,5,15,10,3,6,2,2,0,0,S Bennett,1.91,3.3,4.33
2009/10,15/08/09,Wolves,West Ham,0,2,A,0,1,A,19,16,11,13,9,5,8,6,0,0,0,0,C Foy,2.63,3.3,2.7
2009/10,16/08/09,Man United,Birmingham,1,0,H,1,0,H,26,6,17,4,13,7,13,2,1,1,0,0,L Mason,1.2,6.0,17.0
2009/10,16/08/09,Tottenham,Liverpool,2,1,H,1,0,H,17,6,11,3,14,16,6,5,3,3,0,0,P Dowd,3.2,3.25,2.3
2009/10,18/08/09,Sunderland,Chelsea,1,3,A,1,0,H,4,20,3,9,14,10,1,14,2,2,0,0,S Bennett,6.5,4.0,1.53
2009/10,18/08/09,Wigan,Wolves,0,1,A,0,1,A,18,9,5,3,8,21,4,4,0,3,0,0,M Jones,1.73,3.6,5.25
2009/10,19/08/09,Birmingham,Portsmouth,1,0,H,0,0,D,9,9,5,4,11,20,4,5,0,5,0,0,L Probert,2.0,3.3,4.0
2009/10,19/08/09,Burnley,Man United,1,0,H,1,0,H,8,18,2,9,8,12,1,12,2,1,0,0,A Wiley,9.5,5.0,1.33
2009/10,19/08/09,Hull,Tottenham,1,5,A,1,3,A,9,18,7,12,23,13,6,5,3,2,0,0,C Foy,3.75,3.5,2.0
2009/10,19/08/09,Liverpool,Stoke,4,0,H,2,0,H,18,6,13,3,10,9,11,5,0,1,0,0,P Walton,1.25,5.5,13.0
2009/10,22/08/09,Arsenal,Portsmouth,4,1,H,2,1,H,19,9,16,4,9,10,8,4,1,0,0,0,S Bennett,1.17,7.0,19.0
2009/10,22/08/09,Birmingham,Stoke,0,0,D,0,0,D,8,13,6,3,8,13,3,3,0,3,0,0,C Foy,2.3,3.2,3.25
2009/10,22/08/09,Hull,Bolton,1,0,H,0,0,D,12,20,5,10,19,19,4,12,3,2,0,0,M Jones,2.6,3.25,2.8
2009/10,22/08/09,Man City,Wolves,1,0,H,1,0,H,16,10,11,2,7,11,5,6,0,1,0,0,L Mason,1.33,4.5,12.0
2009/10,22/08/09,Sunderland,Blackburn,2,1,H,1,1,D,8,18,5,5,12,14,0,10,2,1,0,0,A Wiley,2.1,3.25,3.75
2009/10,22/08/09,Wigan,Man United,0,5,A,0,0,D,16,16,7,13,11,8,3,5,2,2,0,0,H Webb,6.5,4.0,1.53
2009/10,23/08/09,Burnley,Everton,1,0,H,1,0,H,8,17,4,11,11,13,3,7,1,0,0,0,P Dowd,3.4,3.3,2.2
2009/10,23/08/09,Fulham,Chelsea,0,2,A,0,1,A,4,12,1,4,11,10,4,7,0,0,0,0,A Marriner,6.5,3.8,1.57
