Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee
2001/02,22/08/01,Blackburn,Man United,2,2,D,0,1,A,12,18,5,7,18,16,3,8,2,1,1,0,A. G. Wiley 
2001/02,22/08/01,Fulham,Sunderland,2,0,H,0,0,D,13,8,5,3,18,20,8,9,0,2,0,0,B. Knight 
2001/02,25/08/01,Arsenal,Leicester,4,0,H,2,0,H,20,2,11,0,14,20,9,0,1,4,1,1,A. P. D'Urso 
2001/02,25/08/01,Blackburn,Tottenham,2,1,H,1,0,H,12,12,7,5,14,11,3,6,1,1,0,0,S. G. Bennett
2001/02,25/08/01,Everton,Middlesbrough,2,0,H,1,0,H,7,5,5,1,25,23,3,6,2,1,0,0,U. D. Rennie
2001/02,25/08/01,Fulham,Derby,0,0,D,0,0,D,10,9,1,2,12,14,11,3,2,3,0,0,M. L Dean
2001/02,25/08/01,Ipswich,Charlton,0,1,A,0,0,D,17,13,11,6,22,20,6,1,2,6,0,0,S. W. Dunn 
2001/02,25/08/01,Southampton,Chelsea,0,2,A,0,1,A,8,7,2,2,13,18,6,2,0,1,0,0,D. R. Elleray 
2001/02,25/08/01,West Ham,Leeds,0,0,D,0,0,D,11,10,3,4,19,14,5,8,3,2,0,0,P. A. Durkin 
2001/02,26/08/01,Aston Villa,Man United,1,1,D,1,0,H,11,13,4,7,9,12,5,5,0,2,0,0,G. P. Barber 
2001/02,26/08/01,Newcastle,Sunderland,1,1,D,1,1,D,16,6,6,3,19,18,10,4,2,2,0,0,M. A. Riley 
2001/02,27/08/01,Bolton,Liverpool,2,1,H,1,0,H,11,18,4,7,13,11,4,6,2,2,0,0,G. Poll 
2001/02,08/09/01,Chelsea,Arsenal,1,1,D,1,1,D,10,14,5,11,20,20,5,6,1,5,1,0,M. A. Riley 
2001/02,08/09/01,Derby,West Ham,0,0,D,0,0,D,6,10,3,4,22,19,3,4,5,2,0,0,C. R. Wilkes
2001/02,08/09/01,Leeds,Bolton,0,0,D,0,0,D,11,8,6,4,13,17,7,5,1,1,0,0,S. G. Bennett
2001/02,08/09/01,Leicester,Ipswich,1,1,D,0,1,A,12,13,7,9,26,24,6,3,3,3,1,1,B. Knight
2001/02,08/09/01,Liverpool,Aston Villa,1,3,A,0,1,A,12,10,7,7,19,14,7,0,3,1,1,0,A. P. D'Urso
2001/02,08/09/01,Man United,Everton,4,1,H,2,0,H,18,5,9,1,7,11,6,2,0,1,0,0,D. J. Gallagher
2001/02,08/09/01,Middlesbrough,Newcastle,1,4,A,1,1,D,8,8,4,5,15,17,3,3,1,3,1,0,G. Poll
2001/02,08/09/01,Sunderland,Blackburn,1,0,H,0,0,D,11,10,4,4,9,14,4,10,2,3,0,0,M. L Dean
2001/02,09/09/01,Charlton,Fulham,1,1,D,1,1,D,7,16,4,5,22,12,5,6,2,1,0,0,J. T. Winter
2001/02,09/09/01,Tottenham,Southampton,2,0,H,0,0,D,18,15,6,6,15,16,3,3,0,0,0,0,A. G. Wiley
2001/02,15/09/01,Bolton,Southampton,0,1,A,0,0,D,4,10,0,6,11,19,3,2,1,1,0,0,D. Pugh
2001/02,15/09/01,Derby,Leicester,2,3,A,1,1,D,15,12,9,6,16,23,8,8,5,3,0,0,G. P. Barber
2001/02,15/09/01,Everton,Liverpool,1,3,A,1,2,A,11,13,5,9,16,13,4,2,0,1,0,0,P.A. Durkin
2001/02,15/09/01,Fulham,Arsenal,1,3,A,0,1,A,6,11,3,6,18,20,4,5,3,4,0,0,A.G. Wiley
2001/02,15/09/01,Middlesbrough,West Ham,2,0,H,2,0,H,13,5,5,1,16,23,8,1,2,3,0,1,M. A. Riley
2001/02,15/09/01,Newcastle,Man United,4,3,H,2,1,H,15,10,8,7,17,16,8,5,2,1,0,1,S. G. Bennett
2001/02,16/09/01,Aston Villa,Sunderland,0,0,D,0,0,D,8,4,3,2,20,25,10,3,0,4,0,0,U. D. Rennie
2001/02,16/09/01,Charlton,Leeds,0,2,A,0,1,A,9,20,4,9,13,14,8,9,2,1,1,0,M. R. Halsey
2001/02,16/09/01,Ipswich,Blackburn,1,1,D,1,0,H,20,6,10,4,8,15,6,13,3,1,0,0,G. Poll
2001/02,16/09/01,Tottenham,Chelsea,2,3,A,0,1,A,11,6,4,4,10,12,6,6,1,4,0,1,S. W. Dunn
2001/02,17/09/01,Leicester,Middlesbrough,1,2,A,1,0,H,10,13,5,6,19,15,4,2,0,1,0,0,N. S. Barry
2001/02,19/09/01,Blackburn,Bolton,1,1,D,0,0,D,20,10,8,5,14,15,10,2,0,4,0,0,J. T. Winter
2001/02,19/09/01,Sunderland,Tottenham,1,2,A,0,1,A,14,13,8,6,9,14,11,4,1,2,0,0,P. A. Durkin
2001/02,22/09/01,Arsenal,Bolton,1,1,D,0,0,D,23,7,12,4,9,11,17,0,1,1,0,1,C. R. Wilkes
2001/02,22/09/01,Blackburn,Everton,1,0,H,1,0,H,13,14,6,7,18,17,5,4,1,2,0,0,G. P. Barber
2001/02,22/09/01,Leicester,Fulham,0,0,D,0,0,D,12,6,5,2,15,21,4,4,2,2,0,0,E. K. Wolstenholme
2001/02,22/09/01,Liverpool,Tottenham,1,0,H,0,0,D,14,11,6,5,12,9,2,5,0,1,0,0,D. J. Gallagher
2001/02,22/09/01,Man United,Ipswich,4,0,H,2,0,H,13,8,8,1,14,17,8,4,0,1,0,0,N. S. Barry
2001/02,22/09/01,Sunderland,Charlton,2,2,D,0,1,A,22,13,13,5,20,13,9,8,2,3,0,0,A. P. D'Urso
2001/02,23/09/01,Chelsea,Middlesbrough,2,2,D,2,0,H,8,4,3,2,17,15,8,2,4,1,0,0,R. Styles
2001/02,23/09/01,Leeds,Derby,3,0,H,1,0,H,19,9,10,2,26,17,9,3,1,2,0,0,A. G. Wiley
2001/02,23/09/01,West Ham,Newcastle,3,0,H,1,0,H,17,8,9,5,20,17,10,7,3,0,0,0,P. Jones
2001/02,24/09/01,Southampton,Aston Villa,1,3,A,1,2,A,12,11,4,5,15,18,2,3,1,2,1,1,S. W. Dunn
2001/02,26/09/01,Newcastle,Leicester,1,0,H,1,0,H,12,2,6,2,17,27,10,1,2,3,0,0,D. Pugh
2001/02,29/09/01,Bolton,Sunderland,0,2,A,0,0,D,15,14,8,7,10,13,8,4,1,1,0,0,D. R. Elleray
2001/02,29/09/01,Charlton,Leicester,2,0,H,1,0,H,14,9,12,6,12,11,4,4,1,2,1,1,M. L. Dean
2001/02,29/09/01,Derby,Arsenal,0,2,A,0,1,A,7,11,5,6,18,19,2,5,3,3,0,1,R. Styles
