Date,Season,season,home_team,away_team,result,B365H,B365D,B365A,predicted,confidence,correct,odd_apostada,retorno,lucro,saldo_acumulado
2026-01-24,2025/26,2025,Man City,Wolves,HomeWin,1.2,7.0,11.0,HomeWin,0.763,True,1.2,1200.0,200.0,1010.0
2026-02-07,2025/26,2025,Arsenal,Sunderland,HomeWin,1.22,6.25,12.0,HomeWin,0.815,True,1.22,1220.0,220.0,1230.0
2026-02-11,2025/26,2025,Man City,Fulham,HomeWin,1.36,5.5,7.0,HomeWin,0.804,True,1.36,1360.0,360.0,1590.0
2026-02-18,2025/26,2025,Wolves,Arsenal,Draw,11.0,5.25,1.29,AwayWin,0.747,False,1.29,0.0,-1000.0,590.0
2026-02-21,2025/26,2025,Chelsea,Burnley,Draw,1.22,6.5,12.0,HomeWin,0.779,False,1.22,0.0,-1000.0,-410.0
2026-03-04,2025/26,2025,Man City,Nott'm Forest,Draw,1.38,5.0,7.5,HomeWin,0.72,False,1.38,0.0,-1000.0,-1410.0
2026-03-14,2025/26,2025,Arsenal,Everton,HomeWin,1.38,4.75,8.5,HomeWin,0.705,True,1.38,1380.0,380.0,-1030.0
2026-03-14,2025/26,2025,Burnley,Bournemouth,Draw,4.1,3.8,1.83,AwayWin,0.706,False,1.83,0.0,-1000.0,-2030.0
2026-04-10,2025/26,2025,West Ham,Wolves,HomeWin,1.8,3.8,4.33,HomeWin,0.726,True,1.8,1800.0,800.0,-1230.0
2026-04-11,2025/26,2025,Arsenal,Bournemouth,AwayWin,1.44,4.5,7.5,HomeWin,0.791,False,1.44,0.0,-1000.0,-2230.0
2026-04-19,2025/26,2025,Nott'm Forest,Burnley,HomeWin,1.5,4.2,7.0,HomeWin,0.701,True,1.5,1500.0,500.0,-1730.0
2026-04-19,2025/26,2025,Man City,Arsenal,HomeWin,1.83,3.7,4.2,HomeWin,0.709,True,1.83,1830.0,830.0,-900.0
2026-04-22,2025/26,2025,Burnley,Man City,AwayWin,19.0,9.0,1.13,AwayWin,0.866,True,1.13,1130.0,130.0,-770.0
2026-04-25,2025/26,2025,Wolves,Tottenham,AwayWin,4.5,4.33,1.67,AwayWin,0.765,True,1.67,1670.0,670.0,-100.0
2026-04-25,2025/26,2025,Liverpool,Crystal Palace,HomeWin,1.44,5.0,6.25,HomeWin,0.787,True,1.44,1440.0,440.0,340.0
2026-05-01,2025/26,2025,Leeds,Burnley,HomeWin,1.33,5.0,9.5,HomeWin,0.704,True,1.33,1330.0,330.0,670.0
2026-05-09,2025/26,2025,Man City,Brentford,HomeWin,1.36,5.75,7.0,HomeWin,0.763,True,1.36,1360.0,360.0,1030.0
2026-05-13,2025/26,2025,Man City,Crystal Palace,HomeWin,1.2,7.5,12.0,HomeWin,0.927,True,1.2,1200.0,200.0,1230.0
2026-05-18,2025/26,2025,Arsenal,Burnley,HomeWin,1.09,11.0,23.0,HomeWin,0.819,True,1.09,1090.0,90.0,1320.0
2026-05-24,2025/26,2025,Nott'm Forest,Bournemouth,Draw,3.3,3.75,2.05,AwayWin,0.706,False,2.05,0.0,-1000.0,320.0
2026-05-24,2025/26,2025,Man City,Aston Villa,AwayWin,1.29,6.0,9.0,HomeWin,0.757,False,1.29,0.0,-1000.0,-680.0
